index,away,defense_ast,defense_ffum,defense_int,defense_sk,defense_tkl,fumbles_lost,fumbles_rcv,fumbles_tot,fumbles_trcv,fumbles_yds,home,kicking_fga,kicking_fgm,kicking_fgyds,kicking_totpfg,kicking_xpa,kicking_xpb,kicking_xpmade,kicking_xpmissed,kicking_xptot,kickret_avg,kickret_lng,kickret_lngtd,kickret_ret,kickret_tds,name,opponent,passing_att,passing_cmp,passing_ints,passing_tds,passing_twopta,passing_twoptm,passing_yds,punting_avg,punting_i20,punting_lng,punting_pts,punting_yds,puntret_avg,puntret_lng,puntret_lngtd,puntret_ret,puntret_tds,receiving_lng,receiving_lngtd,receiving_rec,receiving_tds,receiving_twopta,receiving_twoptm,receiving_yds,rushing_att,rushing_lng,rushing_lngtd,rushing_tds,rushing_twopta,rushing_twoptm,rushing_yds,team,week,year
17,PIT,1.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,A.Branch,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
18,PIT,3.0,0.0,0.0,0.0,2.0,,,,,,NE,,,,,,,,,,,,,,,P.Chung,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
19,PIT,1.0,0.0,0.0,0.0,3.0,,,,,,NE,,,,,,,,,,,,,,,R.Ninkovich,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
20,PIT,2.0,0.0,0.0,0.0,3.0,,,,,,NE,,,,,,,,,,,,,,,D.McCourty,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
21,PIT,2.0,0.0,0.0,0.0,3.0,,,,,,NE,,,,,,,,,,,,,,,M.Butler,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
22,PIT,1.0,0.0,0.0,0.0,0.0,,,,,,NE,,,,,,,,,,,,,,,G.Grissom,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
23,PIT,2.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,S.Siliga,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
24,PIT,1.0,0.0,0.0,1.0,1.0,,,,,,NE,,,,,,,,,,,,,,,M.Brown,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
25,PIT,1.0,0.0,0.0,1.0,2.0,,,,,,NE,,,,,,,,,,,,,,,J.Sheard,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
26,PIT,2.0,0.0,0.0,1.0,6.0,,,,,,NE,,,,,,,,,,,,,,,D.Hightower,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,1,2015
27,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,B.Roethlisberger,NE,38.0,26.0,1.0,1.0,1.0,1.0,351.0,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
28,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,W.Johnson,NE,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,1.0,1.0,0.0,0.0,7.0,PIT,1,2015
29,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,De.Williams,NE,,,,,,,,,,,,,,,,,,5.0,0.0,1.0,0.0,0.0,0.0,5.0,21.0,28.0,0.0,0.0,0.0,0.0,127.0,PIT,1,2015
30,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,T.Murphy,NE,,,,,,,,,,,,,,,,,,16.0,0.0,1.0,0.0,0.0,0.0,16.0,,,,,,,,PIT,1,2015
31,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,D.Heyward-Bey,NE,,,,,,,,,,,,,,,,,,43.0,0.0,4.0,0.0,0.0,0.0,58.0,,,,,,,,PIT,1,2015
32,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,M.Wheaton,NE,,,,,,,,,,,,,,,,,,26.0,0.0,3.0,0.0,1.0,1.0,55.0,,,,,,,,PIT,1,2015
33,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,H.Miller,NE,,,,,,,,,,,,,,,,,,18.0,0.0,8.0,0.0,0.0,0.0,84.0,,,,,,,,PIT,1,2015
34,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,A.Brown,NE,,,,,,,,,,,,,3.0,3.0,0.0,1.0,0.0,37.0,11.0,9.0,1.0,0.0,0.0,133.0,,,,,,,,PIT,1,2015
35,PIT,,,,,,,,,,,NE,4.0,2.0,44.0,6.0,1.0,0.0,1.0,0.0,1.0,,,,,,J.Scobee,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
36,PIT,,,,,,,,,,,NE,,,,,,,,,,,,,,,J.Berry,NE,,,,,,,,43.0,0.0,50.0,2.0,87.0,,,,,,,,,,,,,,,,,,,,PIT,1,2015
37,PIT,,,,,,,,,,,NE,,,,,,,,,,22.0,22.0,0.0,1.0,0.0,D.Archer,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
38,PIT,0.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,D.McCullers,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
39,PIT,1.0,0.0,0.0,0.0,2.0,,,,,,NE,,,,,,,,,,,,,,,A.Blake,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
40,PIT,1.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,S.McLendon,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
41,PIT,1.0,0.0,0.0,0.0,0.0,,,,,,NE,,,,,,,,,,,,,,,S.Tuitt,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
42,PIT,2.0,0.0,0.0,0.0,5.0,,,,,,NE,,,,,,,,,,,,,,,R.Shazier,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
43,PIT,2.0,0.0,0.0,0.0,2.0,,,,,,NE,,,,,,,,,,,,,,,J.Harrison,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
44,PIT,1.0,1.0,0.0,0.0,3.0,,,,,,NE,,,,,,,,,,,,,,,M.Mitchell,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
45,PIT,1.0,0.0,0.0,0.0,0.0,,,,,,NE,,,,,,,,,,,,,,,J.Jones,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
46,PIT,0.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,C.Thomas,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
47,PIT,0.0,0.0,0.0,1.0,2.0,,,,,,NE,,,,,,,,,,,,,,,B.Dupree,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
48,PIT,1.0,0.0,0.0,0.0,0.0,,,,,,NE,,,,,,,,,,,,,,,S.Thomas,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
49,PIT,3.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,C.Heyward,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
50,PIT,1.0,0.0,0.0,0.0,1.0,,,,,,NE,,,,,,,,,,,,,,,R.Golden,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
51,PIT,0.0,0.0,0.0,0.0,4.0,,,,,,NE,,,,,,,,,,,,,,,W.Gay,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
52,PIT,1.0,0.0,0.0,0.0,2.0,,,,,,NE,,,,,,,,,,,,,,,L.Timmons,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
53,PIT,3.0,0.0,0.0,0.0,3.0,,,,,,NE,,,,,,,,,,,,,,,C.Allen,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
54,PIT,0.0,0.0,0.0,1.0,8.0,,,,,,NE,,,,,,,,,,,,,,,W.Allen,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PIT,1,2015
55,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,J.Cutler,GB,36.0,18.0,1.0,1.0,0.0,0.0,225.0,,,,,,,,,,,,,,,,,,4.0,12.0,0.0,0.0,0.0,0.0,31.0,CHI,1,2015
56,GB,,,,,,,,,,,CHI,,,,,,,,,,15.0,15.0,0.0,1.0,0.0,J.Rodgers,GB,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,0.0,0.0,0.0,0.0,16.0,CHI,1,2015
57,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,J.Langford,GB,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,1.0,CHI,1,2015
58,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,M.Forte,GB,,,,,,,,,,,,,,,,,,9.0,0.0,5.0,0.0,0.0,0.0,25.0,24.0,23.0,1.0,1.0,0.0,0.0,141.0,CHI,1,2015
59,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,M.Bennett,GB,,,,,,,,,,,,,,,,,,24.0,24.0,5.0,1.0,0.0,0.0,55.0,,,,,,,,CHI,1,2015
60,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,A.Jeffery,GB,,,,,,,,,,,,,,,,,,25.0,0.0,5.0,0.0,0.0,0.0,78.0,,,,,,,,CHI,1,2015
61,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,M.Wilson,GB,,,,,,,,,,,,,,,,,,50.0,0.0,2.0,0.0,0.0,0.0,59.0,,,,,,,,CHI,1,2015
62,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,E.Royal,GB,,,,,,,,,,,,,,,,,,8.0,0.0,1.0,0.0,0.0,0.0,8.0,,,,,,,,CHI,1,2015
63,GB,,,,,,,,,,,CHI,3.0,3.0,50.0,9.0,2.0,0.0,2.0,0.0,2.0,,,,,,R.Gould,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
64,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,P.O'Donnell,GB,,,,,,,,56.0,0.0,56.0,1.0,56.0,,,,,,,,,,,,,,,,,,,,CHI,1,2015
65,GB,,,,,,,,,,,CHI,,,,,,,,,,24.0,25.0,0.0,2.0,0.0,M.Mariani,GB,,,,,,,,,,,,,11.0,11.0,0.0,1.0,0.0,,,,,,,,,,,,,,,CHI,1,2015
66,GB,1.0,0.0,0.0,0.0,5.0,,,,,,CHI,,,,,,,,,,,,,,,P.McPhee,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
67,GB,0.0,0.0,0.0,0.0,3.0,,,,,,CHI,,,,,,,,,,,,,,,A.Ball,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
68,GB,1.0,0.0,0.0,0.0,0.0,,,,,,CHI,,,,,,,,,,,,,,,W.Young,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
69,GB,0.0,0.0,0.0,0.0,5.0,,,,,,CHI,,,,,,,,,,,,,,,A.Amos,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
70,GB,4.0,0.0,0.0,0.0,4.0,,,,,,CHI,,,,,,,,,,,,,,,S.McClellin,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
71,GB,1.0,0.0,0.0,0.0,1.0,,,,,,CHI,,,,,,,,,,,,,,,K.Fuller,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
72,GB,3.0,0.0,0.0,0.0,4.0,,,,,,CHI,,,,,,,,,,,,,,,C.Jones,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
73,GB,2.0,0.0,0.0,0.0,0.0,,,,,,CHI,,,,,,,,,,,,,,,S.McManis,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
74,GB,0.0,0.0,0.0,0.0,1.0,,,,,,CHI,,,,,,,,,,,,,,,J.Jenkins,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
75,GB,0.0,0.0,0.0,0.0,2.0,,,,,,CHI,,,,,,,,,,,,,,,E.Goldman,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
76,GB,2.0,0.0,0.0,0.0,4.0,,,,,,CHI,,,,,,,,,,,,,,,A.Rolle,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
77,GB,0.0,0.0,0.0,0.0,3.0,,,,,,CHI,,,,,,,,,,,,,,,J.Allen,GB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHI,1,2015
78,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,A.Rodgers,CHI,23.0,18.0,0.0,3.0,0.0,0.0,189.0,,,,,,,,,,,,,,,,,,8.0,15.0,0.0,0.0,0.0,0.0,35.0,GB,1,2015
79,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,R.Rodgers,CHI,,,,,,,,,,,,,,,,,,20.0,0.0,3.0,0.0,0.0,0.0,27.0,1.0,11.0,0.0,0.0,0.0,0.0,11.0,GB,1,2015
80,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,J.Starks,CHI,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,0.0,0.0,0.0,0.0,2.0,GB,1,2015
81,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,E.Lacy,CHI,,,,,,,,,,,,,,,,,,9.0,0.0,2.0,0.0,0.0,0.0,14.0,19.0,16.0,2.0,1.0,0.0,0.0,85.0,GB,1,2015
82,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,J.Jones,CHI,,,,,,,,,,,,,,,,,,34.0,13.0,4.0,2.0,0.0,0.0,51.0,,,,,,,,GB,1,2015
83,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,R.Cobb,CHI,,,,,,,,,,,,,,,,,,10.0,5.0,5.0,1.0,0.0,0.0,38.0,,,,,,,,GB,1,2015
84,GB,,,,,,,,,,,CHI,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,D.Adams,CHI,,,,,,,,,,,,,,,,,,25.0,0.0,4.0,0.0,0.0,0.0,59.0,,,,,,,,GB,1,2015
85,GB,,,,,,,,,,,CHI,1.0,1.0,37.0,3.0,4.0,0.0,4.0,0.0,4.0,,,,,,M.Crosby,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
86,GB,,,,,,,,,,,CHI,,,,,,,,,,,,,,,T.Masthay,CHI,,,,,,,,33.0,0.0,54.0,2.0,97.0,,,,,,,,,,,,,,,,,,,,GB,1,2015
87,GB,,,,,,,,,,,CHI,,,,,,,,,,35.0,46.0,0.0,3.0,0.0,T.Montgomery,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
88,GB,,,,,,,,,,,CHI,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,A.Ripkowski,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
89,GB,0.0,0.0,0.0,0.0,3.0,,,,,,CHI,,,,,,,,,,,,,,,S.Richardson,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
90,GB,0.0,0.0,0.0,0.0,2.0,,,,,,CHI,,,,,,,,,,,,,,,J.Elliott,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
91,GB,1.0,0.0,0.0,0.0,1.0,,,,,,CHI,,,,,,,,,,,,,,,M.Neal,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
92,GB,0.0,0.0,0.0,0.0,1.0,,,,,,CHI,,,,,,,,,,,,,,,S.Barrington,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
93,GB,0.0,0.0,1.0,0.0,6.0,,,,,,CHI,,,,,,,,,,,,,,,C.Matthews,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
94,GB,0.0,0.0,0.0,0.0,4.0,,,,,,CHI,,,,,,,,,,,,,,,M.Hyde,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
95,GB,0.0,0.0,0.0,0.0,1.0,,,,,,CHI,,,,,,,,,,,,,,,J.Boyd,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
96,GB,2.0,0.0,0.0,0.5,2.0,,,,,,CHI,,,,,,,,,,,,,,,B.Raji,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
97,GB,0.0,0.0,0.0,0.0,3.0,,,,,,CHI,,,,,,,,,,,,,,,C.Hayward,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
98,GB,1.0,0.0,0.0,0.0,6.0,,,,,,CHI,,,,,,,,,,,,,,,S.Shields,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
99,GB,0.0,0.0,0.0,0.0,1.0,,,,,,CHI,,,,,,,,,,,,,,,D.Randall,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
100,GB,1.0,0.0,0.0,0.0,6.0,,,,,,CHI,,,,,,,,,,,,,,,N.Palmer,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
101,GB,1.0,0.0,0.0,0.0,5.0,,,,,,CHI,,,,,,,,,,,,,,,H.Clinton-Dix,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
102,GB,1.0,0.0,0.0,1.5,4.0,,,,,,CHI,,,,,,,,,,,,,,,J.Peppers,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
103,GB,1.0,0.0,0.0,0.0,0.0,,,,,,CHI,,,,,,,,,,,,,,,M.Daniels,CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB,1,2015
104,SEA,,,,,,2.0,0.0,2.0,0.0,-4.0,STL,,,,,,,,,,,,,,,N.Foles,SEA,27.0,18.0,0.0,1.0,0.0,0.0,297.0,,,,,,,,,,,,,,,,,,4.0,9.0,1.0,1.0,0.0,0.0,11.0,STL,1,2015
105,SEA,,,,,,,,,,,STL,,,,,,,,,,,,,,,T.Austin,SEA,,,,,,,,,,,,,40.0,75.0,75.0,2.0,1.0,7.0,0.0,2.0,0.0,0.0,0.0,-2.0,4.0,16.0,16.0,1.0,0.0,0.0,17.0,STL,1,2015
106,SEA,,,,,,,,,,,STL,,,,,,,,,,,,,,,B.Cunningham,SEA,,,,,,,,,,,,,,,,,,42.0,0.0,4.0,0.0,0.0,0.0,77.0,16.0,9.0,0.0,0.0,0.0,0.0,45.0,STL,1,2015
107,SEA,,,,,,1.0,0.0,1.0,0.0,0.0,STL,,,,,,,,,,21.0,22.0,0.0,3.0,0.0,I.Pead,SEA,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,0.0,0.0,0.0,0.0,3.0,STL,1,2015
108,SEA,,,,,,,,,,,STL,,,,,,,,,,,,,,,S.Bailey,SEA,,,,,,,,,,,,,,,,,,29.0,0.0,3.0,0.0,0.0,0.0,58.0,,,,,,,,STL,1,2015
109,SEA,,,,,,,,,,,STL,,,,,,,,,,,,,,,K.Britt,SEA,,,,,,,,,,,,,,,,,,21.0,0.0,2.0,0.0,0.0,0.0,37.0,,,,,,,,STL,1,2015
110,SEA,,,,,,,,,,,STL,,,,,,,,,,,,,,,L.Kendricks,SEA,,,,,,,,,,,,,,,,,,37.0,37.0,2.0,1.0,0.0,0.0,42.0,,,,,,,,STL,1,2015
111,SEA,,,,,,,,,,,STL,,,,,,,,,,,,,,,J.Cook,SEA,,,,,,,,,,,,,,,,,,30.0,0.0,5.0,0.0,0.0,0.0,85.0,,,,,,,,STL,1,2015
112,SEA,,,,,,,,,,,STL,2.0,2.0,37.0,6.0,4.0,0.0,4.0,0.0,4.0,,,,,,G.Zuerlein,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
113,SEA,,,,,,,,,,,STL,,,,,,,,,,,,,,,J.Hekker,SEA,,,,,,,,26.0,0.0,55.0,3.0,142.0,,,,,,,,,,,,,,,,,,,,STL,1,2015
114,SEA,2.0,0.0,0.0,0.0,3.0,,,,,,STL,,,,,,,,,,,,,,,T.McDonald,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
115,SEA,3.0,0.0,0.0,0.0,2.0,,,,,,STL,,,,,,,,,,,,,,,M.Barron,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
116,SEA,4.0,0.0,0.0,2.0,5.0,,,,,,STL,,,,,,,,,,,,,,,A.Donald,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
117,SEA,2.0,0.0,0.0,0.0,5.0,,,,,,STL,,,,,,,,,,,,,,,A.Ogletree,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
118,SEA,0.0,0.0,0.0,1.0,7.0,,,,,,STL,,,,,,,,,,,,,,,L.Joyner,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
119,SEA,3.0,0.0,0.0,0.0,4.0,,,,,,STL,,,,,,,,,,,,,,,J.Laurinaitis,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
120,SEA,0.0,0.0,1.0,0.0,3.0,,,,,,STL,,,,,,,,,,,,,,,T.Johnson,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
121,SEA,2.0,0.0,0.0,0.0,1.0,,,,,,STL,,,,,,,,,,,,,,,C.Long,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
122,SEA,1.0,0.0,0.0,0.0,5.0,,,,,,STL,,,,,,,,,,,,,,,J.Jenkins,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
123,SEA,3.0,0.0,0.0,0.0,3.0,,,,,,STL,,,,,,,,,,,,,,,R.McLeod,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
124,SEA,2.0,0.0,0.0,2.0,3.0,,,,,,STL,,,,,,,,,,,,,,,R.Quinn,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
125,SEA,1.0,0.0,0.0,0.0,0.0,,,,,,STL,,,,,,,,,,,,,,,N.Fairley,SEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL,1,2015
